date,amount,vendor,location,transaction_type
2024-01-17,4004,Amazon,Bangalore,Online
2024-02-23,8329,Flipkart,Mumbai,Transfer
2024-01-10,191582,Unknown,Pune,Food
2024-01-27,65540,Unknown,Mumbai,Transfer
2024-01-16,8138,Amazon,Delhi,Transfer
2024-02-14,6451,Amazon,Delhi,Transfer
2024-02-03,8308,Zomato,Pune,Online
2024-01-03,148494,Unknown,Bangalore,Transfer
2024-01-20,9275,Amazon,Bangalore,Food
2024-02-10,137411,Unknown,Bangalore,Transfer
2024-02-14,6318,Swiggy,Mumbai,Online
2024-01-15,3950,Flipkart,Mumbai,Transfer
2024-02-02,3451,Swiggy,Mumbai,Food
2024-01-06,806,Amazon,Bangalore,Transfer
2024-01-14,9560,Zomato,Bangalore,Transfer
2024-02-13,7020,Amazon,Bangalore,Online
2024-02-06,940,Flipkart,Mumbai,Food
2024-02-14,911,Zomato,Pune,Transfer
2024-01-17,8104,Flipkart,Bangalore,Transfer
2024-01-26,4889,Amazon,Delhi,Transfer
2024-01-26,5064,Swiggy,Mumbai,Online
2024-02-23,1600,Flipkart,Pune,Transfer
2024-02-26,8209,Swiggy,Bangalore,Transfer
2024-02-15,5872,Zomato,Mumbai,Online
2024-01-17,7871,Zomato,Delhi,Online
2024-02-21,839,Amazon,Bangalore,Online
2024-01-17,6156,Zomato,Delhi,Online
2024-01-19,1871,Flipkart,Mumbai,Transfer
2024-02-08,8273,Zomato,Pune,Food
2024-02-01,6285,Flipkart,Bangalore,Transfer
2024-01-25,6577,Amazon,Delhi,Food
2024-01-26,1472,Zomato,Mumbai,Food
2024-02-10,7479,Amazon,Bangalore,Transfer
2024-01-05,5488,Zomato,Bangalore,Transfer
2024-02-12,9760,Flipkart,Delhi,Food
2024-02-26,62148,Unknown,Mumbai,Transfer
2024-02-17,3256,Amazon,Bangalore,Online
2024-01-23,1214,Swiggy,Mumbai,Food
2024-01-10,4485,Zomato,Pune,Transfer
2024-02-05,123491,Unknown,Pune,Transfer
2024-02-07,8712,Flipkart,Mumbai,Transfer
2024-02-24,1545,Amazon,Pune,Transfer
2024-02-26,9737,Swiggy,Pune,Online
2024-02-19,205750,Unknown,Pune,Online
2024-02-29,2898,Amazon,Pune,Food
2024-01-11,2037,Zomato,Delhi,Transfer
2024-01-24,4176,Amazon,Delhi,Transfer
2024-01-21,4930,Flipkart,Delhi,Online
2024-01-13,6906,Zomato,Pune,Food
2024-01-22,3608,Swiggy,Pune,Online
2024-01-07,797,Amazon,Delhi,Online
2024-01-23,9581,Zomato,Pune,Food
2024-01-03,2571,Amazon,Bangalore,Food
2024-02-26,8143,Amazon,Delhi,Food
